% Model:              CantileverBeam_Success.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jun 14 2024, 21:41
% Dimension:          2
% Nodes:              183
% Expressions:        6
% Description:        Displacement field, Y-component
% Length unit:        m
% Eigenvalues:        [17.688, 111.22, 312.76, 625.77, 1073.1, 1077.4] Hz
% X                       Y                        v2 (m) @ lambda=1        v2 (m) @ lambda=2        v2 (m) @ lambda=3        v2 (m) @ lambda=4        v2 (m) @ lambda=5        v2 (m) @ lambda=6
0.3005                    0.0127                   1.3710385716308613E-7    5.32437679735649E-7      7.693832126600735E-7     4.326769466978132E-7     -3.373789698412401E-7    -8.558197635422724E-15
0.30117006239997635       0.0127                   1.3766772256263574E-7    5.338044256936347E-7     7.690525931904899E-7     4.2752674663957533E-7    -3.4374179847354377E-7   -8.720856598778083E-15
0.3014457266168308        0.0127                   1.378999673503454E-7     5.343657643075213E-7     7.689111148267013E-7     4.2540152003430626E-7    -3.4634939078095065E-7   -8.787524270911974E-15
0.30179648913762924       0.0127                   1.3819570925689848E-7    5.350792292605254E-7     7.687264904667281E-7     4.2269194853685717E-7    -3.496587690241515E-7    -8.872137646066679E-15
0.30214725165842793       0.0127                   1.3849170566999685E-7    5.357917983295413E-7     7.685367102404802E-7     4.199763926972256E-7     -3.529584447812635E-7    -8.956513829203052E-15
0.3025038452011244        0.0127                   1.3879288336234782E-7    5.365152913727491E-7     7.683384894952643E-7     4.172096000952677E-7     -3.563029388586892E-7    -9.042032446286147E-15
0.3028604387438209        0.0127                   1.3909432367406138E-7    5.372378517978525E-7     7.681349390955983E-7     4.1443670478952524E-7    -3.596372251422143E-7    -9.127299899204475E-15
0.3032170322865174        0.0127                   1.393960263938101E-7     5.379594762326139E-7     7.679260586303007E-7     4.116577483890062E-7     -3.629612132271904E-7    -9.21229597797517E-15
0.3035736258292139        0.0127                   1.396979913103041E-7     5.386801613104639E-7     7.677118477526285E-7     4.088727726430436E-7     -3.6627481307240316E-7   -9.29703527344609E-15
0.30393021937191045       0.0127                   1.4000021821227186E-7    5.393999036676726E-7     7.67492306148167E-7      4.0608181937118543E-7    -3.6957793482265976E-7   -9.38150142166248E-15
0.3042868129146069        0.0127                   1.4030270688847885E-7    5.401186999461922E-7     7.672674335668988E-7     4.032849305314209E-7     -3.728704889928952E-7    -9.465706125711864E-15
0.3046434064573035        0.0127                   1.406054571277093E-7     5.408365467908234E-7     7.670372297911195E-7     4.004821481510018E-7     -3.7615238628745044E-7   -9.549634716099228E-15
0.305                     0.0127                   1.4090846871878447E-7    5.415534408520636E-7     7.66801694667488E-7      3.9767351439372863E-7    -3.794235377874485E-7    -9.633296616562545E-15
0.3054729109574652        0.0127                   1.413107225730987E-7     5.425027035449618E-7     7.664811065014789E-7     3.9393977764936095E-7    -3.837449807784318E-7    -9.743830601364945E-15
0.30594582191493036       0.0127                   1.417134352243048E-7     5.434502768238811E-7     7.661511413405946E-7     3.9019592276113826E-7    -3.8804716230901425E-7   -9.853877867634092E-15
0.3130581906234807        0.0127                   1.47825035932444E-7      5.574919997744408E-7     7.600577524716279E-7     3.327412797371628E-7     -4.502797931129187E-7    -1.1447206669264216E-14
0.3201705593320311        0.0127                   1.5403862800068064E-7    5.711238557147433E-7     7.518487774883688E-7     2.7336788208659346E-7    -5.074465444400296E-7    -1.2912371511257062E-14
0.3394853978570977        0.0127                   1.71412010571878E-7      6.058463329235131E-7     7.190242500272307E-7     1.0578194708202729E-7    -6.31775055605788E-7     -1.6104965180000727E-14
0.3588002363821643        0.0127                   1.8949209162971304E-7    6.36883072694514E-7      6.712501407936125E-7     -6.574928052183397E-8    -7.048403622319612E-7    -1.7988744810998567E-14
0.4                       0.0127                   2.302192700358484E-7     6.882723798016618E-7     5.264426017840447E-7     -3.9899832277277374E-7   -6.745645350494968E-7    -1.7224711468247962E-14
0.4411997636178358        0.0127                   2.736988480835262E-7     7.174132240655437E-7     3.324589646515277E-7     -6.469156768969249E-7    -4.094152450484004E-7    -1.0400690000182707E-14
0.4605146021429024        0.0127                   2.949655968267073E-7     7.228220919215833E-7     2.2850902623751432E-7    -7.21928028401524E-7     -2.2177447302115675E-7   -5.557292720697543E-15
0.47982944066796895       0.0127                   3.1673892676839715E-7    7.225390742319225E-7     1.203032753514357E-7     -7.626741271163558E-7    -1.717671097954085E-8    -2.5994120260394857E-16
0.4869418093765193        0.0127                   3.248788334171751E-7     7.209724294829772E-7     7.98184882325358E-8      -7.686334452143224E-7    5.9564316962358215E-8    1.7322171824081863E-15
